Nom de la commune,Population municipale,proportion de vote pour le parti A, Latitude , Longitude 
Allouville-Bellefosse,1165,0.441,49.6,0.683333
Alvimare,634,0.546,49.6,0.633333
Ambrumesnil,496,0.442,49.866667,1
Amfreville-la-Mi-Voie,3221,0.538,49.4,1.116667
Amfreville-les-Champs,180,0.565,49.7,0.816667
Anceaumeville,669,0.478,49.583333,1.05
Ancourt,685,0.604,49.9,1.183333
Ancretteville-sur-Mer,184,0.503,49.783333,0.516667
Angerville-Bailleul,197,0.615,49.666667,0.45
Angerville-la-Martel,960,0.372,49.766667,0.5
Angerville-l'Orcher,1441,0.493,49.583333,0.283333
Angiens,536,0.471,49.833333,0.783333
Anglesqueville-l'Esneval,525,0.543,49.633333,0.233333
Anneville-sur-Scie,442,0.576,49.833333,1.083333
Anneville-Ambourville,1211,0.553,49.466667,0.883333
Annouville-Vilmesnil,527,0.545,49.683333,0.433333
Anquetierville,354,0.514,49.533333,0.633333
Anvéville,293,0.365,49.7,0.733333
Ardouval,167,0.475,49.75,1.266667
Argueil,333,0.532,49.533333,1.516667
Arques-la-Bataille,2708,0.297,49.883333,1.133333
Aubéguimont,201,0.411,49.8,1.666667
Aubermesnil-Beaumais,458,0.494,49.85,1.116667
Auberville-la-Manuel,120,0.443,49.833333,0.583333
Auberville-la-Renault,466,0.415,49.683333,0.366667
Aumale,2271,0.455,49.766667,1.75
Auppegard,734,0.417,49.833333,1.033333
Authieux-Ratiéville,403,0.451,49.6,1.15
Autigny,311,0.549,49.8,0.866667
Autretot,691,0.381,49.65,0.733333
Auvilliers,119,0.425,49.766667,1.583333
Auzebosc,1097,0.470,49.6,0.733333
Auzouville-Auberbosc,318,0.391,49.633333,0.566667
Auzouville-l'Esneval,363,0.411,49.633333,0.883333
Auzouville-sur-Ry,696,0.521,49.433333,1.316667
Auzouville-sur-Saâne,156,0.558,49.75,0.933333
Avesnes-en-Bray,312,0.430,49.466667,1.666667
Avesnes-en-Val,267,0.573,49.916667,1.4
Avremesnil,1024,0.398,49.85,0.933333
Bacqueville-en-Caux,1895,0.659,49.783333,1
Bailleul-Neuville,197,0.404,49.8,1.416667
Baillolet,108,0.513,49.8,1.433333
Bailly-en-Rivière,526,0.501,49.916667,1.35
Baons-le-Comte,368,0.505,49.65,0.783333
Bardouville,666,0.492,49.433333,0.933333
Barentin,12053,0.316,49.55,0.95
Baromesnil,237,0.268,49.983333,1.416667
Bazinval,408,0.327,49.966667,1.55
Beaubec-la-Rosière,492,0.649,49.65,1.533333
Beaumont-le-Hareng,254,0.602,49.666667,1.216667
Beaurepaire,492,0.504,49.666667,0.216667
Beaussault,415,0.430,49.683333,1.566667
Beauvoir-en-Lyons,633,0.510,49.5,1.583333
Bec-de-Mortagne,685,0.442,49.7,0.45
Belbeuf,1987,0.527,49.4,1.15
Bellencombre,682,0.720,49.7,1.233333
Bellengreville,465,0.517,49.9,1.216667
Belleville-en-Caux,670,0.657,49.7,0.983333
La Bellière,55,0.554,49.6,1.6
Belmesnil,464,0.565,49.766667,1.05
Bénarville,255,0.575,49.666667,0.5
Bénesville,194,0.524,49.75,0.833333
Bennetot,178,0.513,49.666667,0.55
Bénouville,173,0.420,49.716667,0.25
Bermonville,483,0.458,49.633333,0.633333
Bernières,675,0.783,49.616667,0.483333
Bertheauville,113,0.671,49.85,0.65
Bertreville,118,0.566,49.766667,0.583333
Bertreville-Saint-Ouen,358,0.656,49.8,1.05
Bertrimont,227,0.474,49.666667,1
Berville,621,0.606,49.716667,0.833333
Berville-sur-Seine,562,0.613,49.466667,0.9
Beuzeville-la-Grenier,1124,0.527,49.6,0.433333
Beuzeville-la-Guérard,210,0.557,49.716667,0.616667
Beuzevillette,672,0.448,49.566667,0.533333
Bézancourt,345,0.610,49.45,1.633333
Bierville,298,0.390,49.533333,1.266667
Bihorel,8237,0.515,49.466667,1.116667
Biville-la-Baignarde,651,0.286,49.716667,1.05
Biville-la-Rivière,104,0.341,49.783333,0.933333
Blacqueville,664,0.540,49.566667,0.866667
Blainville-Crevon,1210,0.388,49.5,1.3
Blangy-sur-Bresle,2960,0.447,49.933333,1.633333
Bonsecours,6474,0.587,49.433333,1.133333
